businessID,businessName,contactType,contactDate,notes,createdAt
48,Osborne and Sons,Phone,2023-12-03,Push trial traditional role whole coach election realize.,2023-05-01T05:06:22
49,"Bowen, Garza and Harris",Phone,2021-08-08,Seek call sing beyond family by federal.,2023-11-22T13:58:37
50,"Ramos, Wilcox and Francis",Phone,2020-04-10,Final this service happen physical.,2022-09-29T20:37:48
51,Hays-Cabrera,Phone,2020-08-25,Official bit computer it off down customer.,2023-10-02T09:04:40
52,Wolfe Ltd,In-person,2023-08-03,Feeling ground receive think computer job.,2021-06-20T20:08:56
53,Villarreal-Gregory,In-person,2023-05-15,Tv tonight treat every federal country.,2022-08-28T12:56:51
54,Jones-Jones,Email,2021-10-13,Remain network somebody interesting east hour.,2020-10-13T07:01:02
55,Daniel LLC,Phone,2021-11-29,Central message last mean book bank.,2022-02-13T01:06:35
56,Gomez-Sexton,In-person,2020-11-01,Join attack future far.,2022-04-10T04:00:32
57,Hanson Inc,Email,2021-08-08,Threat idea across none star.,2020-11-17T09:38:55
58,Weiss-Carson,Phone,2021-05-11,Tough indicate quickly kind.,2023-09-29T22:41:48
59,Hale-Tran,In-person,2023-10-29,Back control nearly agency.,2023-01-25T11:18:33
60,"Bell, Hart and Baker",In-person,2022-12-13,Maybe consider main condition toward left.,2022-04-06T16:01:42
61,Williams-Hamilton,Phone,2024-03-18,Concern hear word any.,2022-03-26T09:51:57
62,Green Group,Email,2020-09-30,Recent mean off matter who program.,2020-09-29T21:38:14
63,Martin Group,In-person,2020-07-31,Kid economy yard them country administration.,2021-12-11T05:15:05
64,Campos-Lopez,In-person,2023-11-10,Back field yeah save local sort Republican.,2023-09-17T16:24:56
65,Sweeney PLC,In-person,2022-07-11,Health matter billion administration behind management.,2022-07-20T02:03:01
66,"Garner, Tanner and Scott",In-person,2020-02-17,Black firm ten play give every myself open.,2023-07-28T17:58:39
67,"Wilson, Johnson and Hudson",Email,2020-02-26,Minute toward purpose information walk series pretty.,2022-03-06T10:46:48
68,Cook Ltd,Phone,2021-04-30,Parent give discussion important grow.,2022-12-21T20:31:54
69,Jimenez PLC,In-person,2022-11-20,Sister thought mention such.,2024-05-26T05:14:20
70,Richardson LLC,Email,2021-05-18,Blue visit sometimes catch meet only these.,2023-02-23T02:58:30
71,Campbell-Figueroa,In-person,2021-10-31,Significant reason teacher there.,2022-06-19T02:49:25
72,"Gross, Thomas and Barnett",Phone,2021-07-02,Professional save read dog among light eight.,2021-01-24T05:56:39
73,Gutierrez-Bell,Phone,2020-11-24,Over beautiful serve never reduce.,2024-03-22T15:13:43
74,Mason-Parker,Email,2020-04-09,Whole reality start together community nature dark.,2022-11-30T21:28:43
75,Nguyen-Salazar,In-person,2020-09-18,Watch cup professor start ago well my.,2022-04-08T04:58:44
76,"Spears, Jones and Giles",Email,2022-12-16,Lose well agreement alone drop collection director bit.,2024-02-23T14:33:41
77,Duncan LLC,In-person,2023-12-13,Require drive what want push.,2023-05-21T17:17:44
78,Merritt LLC,Email,2023-04-05,Door pattern science begin section quality theory provide.,2023-04-24T18:38:20
79,Hernandez-Smith,In-person,2021-03-17,Cover actually develop believe individual.,2020-03-08T01:54:52
80,"Nelson, Kramer and Middleton",Email,2023-12-19,Occur necessary peace and employee.,2022-03-24T06:10:35
81,Zimmerman PLC,Phone,2020-06-27,Son resource than body.,2020-09-07T05:35:56
82,"Huffman, Morris and Acosta",In-person,2023-04-09,Nothing film yet exist return scene too.,2023-10-05T18:52:32
83,"Thompson, Miller and Tanner",In-person,2021-08-29,Section prepare perhaps offer make direction ahead.,2020-03-26T19:11:57
84,Ellis-Mills,Email,2023-07-29,Large with just suffer.,2021-12-02T16:05:05
85,"Smith, Boyd and Wright",Email,2024-02-13,Herself manager skill tonight artist tonight bag similar.,2020-06-13T18:47:43
86,"Velazquez, Tucker and Hensley",In-person,2021-01-24,Official modern ahead eight position cost.,2021-10-01T00:26:46
87,Rosales-Stevens,Phone,2023-08-04,Tend those protect station expert machine food through.,2020-10-23T12:14:44
88,Munoz-Greene,Phone,2024-01-19,Specific individual despite.,2023-11-21T12:21:37
89,Irwin-Evans,In-person,2024-05-31,Federal provide measure chair forward analysis ball employee.,2023-08-30T06:07:23
90,"Hill, Garcia and Simpson",In-person,2021-05-12,Stock record sound then.,2024-07-23T04:14:42
91,"Lloyd, Escobar and Coleman",In-person,2021-09-08,Memory discussion by teacher successful be.,2023-01-27T15:15:57
92,Cross PLC,Email,2024-04-02,One national spend theory area so travel.,2021-03-31T12:07:48
93,Smith-Price,In-person,2021-02-22,Move know follow rise level expert.,2024-06-24T13:32:03
94,"Sutton, Taylor and Franklin",In-person,2020-05-06,Dog performance fill probably.,2023-11-22T19:09:36
95,Ramos PLC,Email,2022-03-28,Today develop beyond work stop price agree drug.,2021-03-13T11:40:41
96,Stevens Inc,Email,2023-12-20,Bag listen although low mouth sell thing town.,2024-02-03T10:49:35
97,Faulkner and Sons,Email,2020-10-01,Product feeling nature enter clear.,2023-09-12T05:01:39
98,Brooks Ltd,Email,2020-01-26,Suffer those degree I.,2024-03-14T17:03:57
99,Ball Ltd,In-person,2021-03-02,Join begin career young step general strong.,2020-07-15T20:35:39
100,"Mitchell, Brown and Yoder",Phone,2020-05-26,International actually close director mouth.,2023-04-17T03:06:07
101,Garcia LLC,Email,2023-02-17,Human trip hand spring.,2020-12-16T04:50:58
102,Hansen-Levine,In-person,2024-05-19,Fear range return simple student computer add.,2022-11-09T06:02:58
103,Baldwin Ltd,Email,2024-01-31,Experience between conference six sit west computer.,2023-06-09T00:24:42
104,Moon-Jensen,Phone,2022-11-24,Their blood field race father manage.,2021-10-27T06:41:55
105,"Baker, Daugherty and Williams",Email,2020-06-17,Ready perhaps yard.,2023-10-30T23:10:02
106,Young-Cox,In-person,2020-04-05,Let any produce if.,2021-09-16T00:32:24
107,Saunders Ltd,In-person,2021-05-15,Reason deal positive tree experience story charge.,2023-04-04T14:47:23
108,"Glover, Richardson and Lee",In-person,2024-01-13,Raise ever listen she.,2021-07-10T15:23:44
109,Holland-Orozco,In-person,2024-05-04,Contain pretty building raise once.,2023-07-06T23:17:21
110,Chavez LLC,In-person,2021-02-10,Choose member can focus positive some population.,2024-04-17T02:41:25
111,Rogers Group,In-person,2023-06-01,She time Congress community evidence.,2020-07-12T01:59:14
112,Smith LLC,Email,2024-04-24,Under suffer different close star.,2021-09-03T19:19:09
113,Maldonado-Davis,Email,2024-04-25,Generation talk offer.,2023-02-07T01:31:00
114,"Medina, Vaughan and Morris",Phone,2020-01-22,Country people scene deal.,2022-07-23T00:25:29
115,"Farrell, Burnett and Ross",Email,2021-06-12,Low tough me American picture low experience.,2024-04-28T17:19:35
116,Willis PLC,Phone,2023-08-22,Wide coach either speech science address will.,2022-07-13T07:47:51
117,Cruz Group,In-person,2020-11-29,Establish couple let sing professional perform image.,2024-05-17T06:02:23
118,"Lynch, Stark and Lamb",Phone,2023-07-15,Always seven nature fire though save fill my.,2020-11-21T22:51:06
119,Doyle Inc,Phone,2020-09-02,Policy up response play.,2023-08-31T15:15:10
120,Watson Inc,Email,2023-11-01,Particular billion rate design quite seat end.,2020-02-23T12:17:32
121,Smith Ltd,Email,2023-01-11,Usually research skill add.,2020-11-12T02:10:35
122,Gregory and Sons,Email,2020-01-19,Crime feeling leave piece three trouble.,2020-03-25T00:11:09
123,Frye and Sons,Email,2024-04-14,Your dinner throw possible service leader vote.,2023-05-19T18:59:11
124,Keller-Wong,In-person,2021-09-28,Challenge someone yeah buy skin thus garden note.,2022-06-11T01:59:20
125,Clarke and Sons,Email,2021-04-01,Car gas quite hold best wind.,2021-07-21T01:00:31
126,"Zamora, Perez and Middleton",Phone,2020-12-16,Keep top would land.,2021-10-04T18:40:57
127,Bruce Inc,In-person,2022-09-04,Six need surface.,2022-12-19T18:28:31
128,Dillon-Gordon,Phone,2022-12-08,Republican fall this the total left employee.,2023-05-12T23:58:22
129,"Moreno, Buckley and Williams",Email,2020-06-06,Ok threat from animal mention down.,2020-01-22T12:28:10
130,"Carey, Levine and Hudson",Email,2021-01-12,Ask fall onto.,2021-08-25T18:04:36
131,Ochoa-Torres,Phone,2020-07-02,Challenge respond computer.,2022-09-20T14:29:08
132,Parker-Escobar,Phone,2023-10-10,They assume whatever.,2020-03-19T01:31:38
133,Murray-Dickson,Email,2022-06-16,Pass give create score front human.,2021-06-09T03:02:13
134,"Gentry, Dixon and Beck",Email,2020-10-23,Who reach sort factor.,2023-12-15T18:38:29
135,"Arnold, Harris and Neal",Email,2023-07-01,Social dark after prepare service today tax.,2022-02-28T03:34:13
136,Figueroa Group,Email,2020-06-19,Community special increase close throw price now.,2021-12-21T23:35:40
137,"Wright, Bender and Lee",Phone,2020-11-23,Husband fast we gas ago just.,2023-04-03T01:27:13
138,"Alexander, Smith and Gibson",Email,2023-12-30,Anyone its policy what cell direction.,2021-03-11T12:15:40
139,Lewis Ltd,Phone,2024-03-12,Rise person top source usually.,2020-05-08T14:35:10
140,"Simpson, Padilla and Andrews",Phone,2020-12-26,Reason specific foot evidence together much land fall.,2022-06-08T13:50:27
141,Walls Inc,Phone,2023-05-11,History throughout ball nation.,2021-06-27T00:56:01
142,Anderson Inc,In-person,2023-08-03,Plant become president until country.,2021-04-22T14:50:57
143,Benjamin-Wheeler,Phone,2023-10-23,Drive arm power drug idea.,2023-11-25T04:01:26
144,Jones-Herring,In-person,2023-10-26,Media myself race rather say program.,2021-09-24T07:16:28
145,Carpenter PLC,Email,2023-11-12,Reflect major or.,2021-07-07T17:22:55
146,"Thompson, Norris and Lloyd",In-person,2021-04-05,Follow expert road rock prepare.,2023-04-11T15:07:38
147,Stewart Ltd,Email,2023-09-07,White successful everybody.,2022-01-04T18:37:13
148,"White, Perez and Casey",Phone,2024-03-03,Popular now finish society upon police nature.,2020-03-04T19:38:21
149,"Flores, Kelly and Diaz",Email,2022-09-30,Travel when back father.,2023-06-19T03:29:37
150,Rogers-Andrews,Phone,2024-02-27,Her side large hair rule carry.,2023-03-05T06:37:14
151,"Jones, Lee and Brown",In-person,2020-11-17,Yes issue trip administration economy agency film nothing.,2021-04-10T05:56:07
152,Perkins and Sons,Phone,2022-08-07,Lose religious bar key contain director.,2022-12-14T19:23:10
153,Watson-Miller,In-person,2023-10-15,Check medical who strong from.,2024-06-03T10:41:10
154,Hardy Inc,Email,2023-07-15,Four wish both return soon operation.,2024-04-21T14:17:13
155,Jarvis Ltd,In-person,2021-02-10,Build practice significant put price visit challenge.,2022-04-20T04:17:04
156,"Nguyen, Robinson and Chapman",In-person,2023-07-26,Tough similar try mention want draw nothing.,2022-09-03T03:16:35
157,"Aguilar, Johnson and Holden",Phone,2024-01-29,Stage scientist executive statement service.,2024-03-17T00:08:27
158,Duffy-Boyle,Email,2020-12-30,Anything career class less address network body.,2020-06-24T18:32:28
159,"Bray, Stafford and Aguilar",Phone,2021-07-02,Myself education gas decade for.,2024-02-08T19:58:13
160,Ortega Inc,Phone,2022-10-22,Protect air both now.,2023-09-18T17:08:35
161,Kelly-Burke,In-person,2021-01-30,Many coach hard doctor.,2021-06-19T00:57:42
162,Mitchell-Nelson,Email,2021-10-18,Ever recently later recent discover recently its.,2023-02-23T09:11:16
163,Austin Inc,Email,2023-06-13,Itself man use.,2022-07-12T21:49:17
164,"Douglas, Bell and Solis",Phone,2022-11-17,We hand clearly once career buy evening summer.,2021-11-16T21:28:21
165,Foster LLC,Phone,2022-12-07,Up it together these me.,2023-12-24T14:49:16
166,Brown-Rivers,In-person,2020-02-16,Note picture outside your necessary.,2022-01-21T01:36:04
167,Key Group,In-person,2020-12-30,Section mission bed position.,2022-05-06T04:58:42
168,Guzman-Yates,Phone,2020-12-08,His time necessary day year crime line.,2023-04-25T14:04:43
169,Kelley-Gray,Phone,2022-11-02,Music event risk treat.,2021-01-23T17:21:09
170,Phillips LLC,Phone,2022-11-10,Series nature start.,2023-02-23T07:04:48
171,Schmidt-Lane,Email,2022-10-09,Option art traditional my.,2020-10-02T03:56:11
172,George-Blanchard,In-person,2021-10-26,Almost national political PM course hundred.,2023-07-11T15:29:55
173,Adams PLC,Phone,2023-07-18,Who book how there.,2023-07-08T10:14:45
174,Harris-Rowe,Email,2023-10-21,Friend billion paper fall seek them.,2022-02-20T18:48:28
175,Gates-Haley,Email,2020-10-20,Concern better agent tell else the gun.,2022-04-04T09:13:33
176,Davidson-Mcknight,In-person,2024-07-28,Matter safe letter stage.,2022-04-21T06:34:06
177,"Kim, Anthony and Brooks",In-person,2022-01-05,Mother significant phone let home.,2023-09-05T10:13:08
178,"Mcfarland, Mcguire and Murphy",Email,2022-11-21,Detail more force other ready nice mother.,2020-06-22T09:44:45
179,"Stout, Hunter and Boyle",Phone,2020-02-19,Kid task pretty clearly poor moment institution.,2021-02-04T16:57:27
180,"Mccann, Moore and Curtis",Email,2023-07-08,Forward beautiful science develop improve.,2021-06-29T06:38:23
181,"Watts, Fields and Hardin",Email,2020-05-01,Experience store population bed.,2020-03-16T08:56:10
182,Stevenson-Chan,Email,2023-09-25,Write decide always.,2021-09-03T20:07:24
183,Ford-Sloan,In-person,2023-04-14,No task group but fund she head.,2023-07-07T16:04:06
184,Davidson-Brooks,Email,2022-09-30,Drive film day yet front sometimes decide.,2020-12-01T21:11:10
185,"Butler, Kelley and Daniels",Phone,2023-01-16,Wall happen particularly option part eight between.,2021-06-05T08:36:15
186,Watson-Reese,Phone,2023-12-02,Own responsibility cold speech early write.,2024-05-05T14:28:29
187,Williams and Sons,Phone,2022-02-19,Manage total thought try nature offer edge tree.,2024-02-20T03:52:49
188,"Leach, Williams and Jones",Phone,2023-03-23,Political front medical boy you follow.,2022-09-27T00:23:35
189,"Washington, Sullivan and Evans",Phone,2023-03-08,Somebody month worry main difficult hotel more.,2020-05-08T19:03:39
190,"Briggs, White and Roberts",Phone,2023-06-29,Lose because prevent.,2022-11-19T06:14:09
191,Ward Ltd,In-person,2021-03-29,Three effort finish exist whether drug service.,2023-07-30T06:09:23
192,Harper and Sons,Email,2021-07-07,Change trip investment chair rule section responsibility.,2022-10-27T20:31:21
193,Evans Group,In-person,2024-03-27,Picture pull day upon loss war modern but.,2022-10-08T03:47:29
194,Chavez-Levy,Phone,2021-06-03,Section wrong while field fall author.,2021-04-22T16:27:02
195,Smith Ltd,In-person,2021-05-31,Business next financial must.,2020-04-14T22:45:16
196,"White, Riggs and Miller",Email,2023-11-10,Help direction less even third history.,2023-03-08T14:00:25
197,Mcdonald-Ellis,Email,2020-06-21,Those positive ago five within really feeling.,2020-07-09T21:54:14
198,"Taylor, Nelson and Jenkins",Phone,2021-11-04,Property production market pay policy medical type.,2022-02-20T01:34:36
199,Hernandez-Hughes,Phone,2023-08-20,Paper continue continue sit international animal entire.,2022-04-08T12:20:30
200,Patrick-Larson,In-person,2023-08-26,Enter walk how order kitchen.,2023-07-17T09:59:52
